VPCode_norm
618164
887312
902980
566395
553709
945903
396507
964863
569078
495553
750596
654685
759386
278832
441958
147215
260317
814447
649016
427612
252657
934778
844702
179427
87176
56128
398717
174723
131527
327381
30900
700439
92826
713398
