Timepoint,Intervention_Mean,Intervention_Std,Intervention_N,Control_Mean,Control_Std,Control_N,t_stat,p_val
t0,5.933333333333334,0.7988086367179803,15,5.666666666666667,1.1126972805283735,15,0.7540079036599854,0.45777746870892855
t1,5.615384615384615,0.8697184926229042,13,6.071428571428571,0.9168747682531899,14,-1.3262893058590146,0.19674072209790633
t2,5.1,0.5676462121975467,10,5.583333333333333,1.1645001528813148,12,-1.2683019397871098,0.22226737805798602
t3,4.75,0.4629100498862757,8,5.333333333333333,0.9847319278346618,12,-1.7783743294531673,0.09362910576110071
t4,5.25,1.164964745021435,8,5.818181818181818,1.3280197150781925,11,-0.9891174024520273,0.3370663499561582
